geohash,major_category_weekday,major_category_holiday,major_category_morning,major_category_afternoon,major_category_evening,major_category_night
dr5nzz,Educational,Educational,Educational,Unknown,Unknown,Unknown
dr5ppn,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5ppt,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5pqc,Transportation,Transportation,Unknown,Unknown,Transportation,Transportation
dr5pqe,Residential,Residential,Residential,Residential,Residential,Residential
dr5pr0,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown
dr5pr5,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5pr6,Residential,Residential,Residential,Residential,Commercial/Services,Residential
dr5prd,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5prg,Transportation,Transportation,Transportation,Unknown,Unknown,Transportation
dr5prm,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5pru,Transportation,Transportation,Transportation,Transportation,Unknown,Transportation
dr5pry,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5ptu,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown,Unknown,Unknown
dr5pvb,Residential,Residential,Residential,Residential,Residential,Residential
dr5pwb,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare
dr5pwv,Transportation,Residential,Transportation,Transportation,Residential,Residential
dr5pwx,Residential,Unknown,Residential,Residential,Unknown,Unknown
dr5pwy,Culture & Leisure,Unknown,Unknown,Unknown,Culture & Leisure,Unknown
dr5pxc,Residential,Residential,Residential,Residential,Residential,Residential
dr5pxd,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5pxf,Commercial/Services,Unknown,Commercial/Services,Unknown,Unknown,Unknown
dr5pxm,Residential,Residential,Residential,Residential,Residential,Residential
dr5pxn,Commercial/Services,Commercial/Services,Commercial/Services,Educational,Commercial/Services,Commercial/Services
dr5pxs,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5pxw,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5pxx,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Unknown
dr5pxz,Unknown,Residential,Unknown,Unknown,Unknown,Residential
dr5py1,Commercial/Services,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services
dr5pyb,Residential,Unknown,Unknown,Residential,Unknown,Unknown
dr5pye,Residential,Residential,Unknown,Residential,Residential,Residential
dr5pyg,Residential,Residential,Residential,Unknown,Residential,Unknown
dr5pyj,Residential,Residential,Residential,Residential,Residential,Residential
dr5pyv,Transportation,Unknown,Transportation,Unknown,Unknown,Unknown
dr5pyx,Residential,Residential,Residential,Residential,Residential,Residential
dr5pyy,Transportation,Unknown,Transportation,Commercial/Services,Transportation,Commercial/Services
dr5pyz,Residential,Residential,Residential,Residential,Residential,Residential
dr5pz0,Culture & Leisure,Culture & Leisure,Transportation,Transportation,Culture & Leisure,Culture & Leisure
dr5pz1,Culture & Leisure,Unknown,Unknown,Unknown,Culture & Leisure,Culture & Leisure
dr5pz4,Transportation,Unknown,Transportation,Unknown,Unknown,Unknown
dr5pz5,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5pz6,Culture & Leisure,Unknown,Unknown,Unknown,Culture & Leisure,Culture & Leisure
dr5pz7,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5pzd,Residential,Residential,Residential,Residential,Residential,Residential
