geohash,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
dr5nzz,0,0,0,2,0,0,2,0,0,16,0,0,0,0,14,6,18,2,0,20,0
dr5ppn,0,0,2,2,0,0,4,2,0,6,0,0,0,0,12,4,14,2,0,14,2
dr5pqc,0,0,0,0,0,0,72,32,0,0,0,0,0,0,102,2,104,0,0,104,0
dr5pqe,0,0,0,0,0,0,101,0,0,6,0,0,0,0,94,13,107,0,0,107,0
dr5pr0,0,0,0,0,0,0,60,15,0,6,0,14,1,0,66,30,96,0,0,96,0
dr5pr5,0,0,0,0,26,0,43,1,0,21,0,0,0,0,78,13,82,9,0,87,4
dr5pr6,0,0,0,0,0,0,52,0,0,47,0,8,1,0,86,22,108,0,0,108,0
dr5prd,0,0,0,0,0,0,26,0,0,12,0,0,0,0,36,2,38,0,0,38,0
dr5prg,0,0,2,10,0,0,6,6,4,13,2,0,0,0,18,25,36,7,0,43,0
dr5prm,0,0,0,0,6,0,24,16,0,0,0,0,0,0,42,4,44,2,0,46,0
dr5pru,0,0,0,1,0,0,0,1,0,6,1,0,0,0,0,9,8,1,0,9,0
dr5pry,0,0,0,0,0,0,0,0,0,3,1,0,0,5,2,7,9,0,0,9,0
dr5ptu,0,0,0,0,2,0,32,0,0,2,0,0,0,0,34,2,36,0,0,36,0
dr5pvb,0,0,0,0,0,0,2,0,0,8,0,0,0,0,10,0,10,0,0,10,0
dr5pwb,0,0,0,0,0,0,109,0,0,12,0,0,0,0,114,7,121,0,0,121,0
dr5pwr,0,0,0,0,0,0,48,10,0,16,0,0,0,0,74,0,74,0,0,74,0
dr5pwu,0,0,0,1,0,0,60,38,0,2,0,0,0,0,98,3,101,0,0,101,0
dr5pwv,0,0,1,1,8,0,38,42,0,16,0,0,0,0,92,14,103,3,0,106,0
dr5pww,0,0,0,0,0,0,61,38,0,4,0,0,0,0,94,9,103,0,0,103,0
dr5pwx,0,0,0,0,0,0,53,16,0,20,0,0,0,0,64,25,89,0,0,89,0
dr5pwy,0,0,0,0,10,2,32,16,0,18,0,0,0,0,72,6,78,0,0,78,0
dr5pwz,0,0,0,0,0,0,80,16,0,28,0,0,0,0,98,26,122,2,0,124,0
dr5pxc,0,0,2,9,0,0,2,8,0,0,0,2,3,0,0,26,24,2,0,26,0
dr5pxd,0,0,1,4,8,0,10,8,0,6,0,0,0,3,30,10,37,3,0,40,0
dr5pxf,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,16,6,10,0,16,0
dr5pxm,0,0,0,0,0,0,50,32,0,8,0,0,0,0,82,8,90,0,0,90,0
dr5pxn,0,0,0,0,18,0,24,5,0,12,0,0,0,0,52,7,59,0,0,59,0
dr5pxs,0,0,0,2,0,0,32,18,1,26,0,0,0,0,70,9,79,0,0,79,0
dr5pxw,0,0,0,0,0,0,60,28,0,0,0,0,0,0,70,18,88,0,0,88,0
dr5pxx,0,0,0,0,22,0,87,6,0,15,0,0,0,0,118,12,130,0,0,130,0
dr5pxz,0,0,0,0,34,1,78,10,0,27,0,0,0,1,126,25,151,0,2,149,0
dr5py1,0,0,0,0,22,0,58,15,0,20,0,0,0,0,102,13,113,2,0,115,0
dr5pyb,0,0,0,0,0,0,43,42,0,2,0,0,0,0,58,29,87,0,0,87,0
dr5pyc,0,0,0,0,32,0,36,16,0,0,0,0,0,0,54,30,84,0,0,84,0
dr5pye,0,0,0,0,0,0,45,12,0,10,0,0,0,0,64,3,67,0,0,67,0
dr5pyg,0,0,0,0,0,0,53,26,0,12,0,0,0,0,88,3,91,0,0,91,0
dr5pyj,0,0,0,0,0,0,45,4,0,0,0,0,0,0,48,1,49,0,0,49,0
dr5pyv,0,0,0,1,4,1,48,35,0,0,0,0,0,0,72,17,83,6,0,89,0
dr5pyx,0,0,0,4,47,3,47,0,0,0,0,0,0,0,72,29,97,4,0,101,0
dr5pyy,0,0,0,0,18,0,79,10,0,0,0,0,0,1,90,18,108,0,0,106,2
dr5pyz,0,0,0,0,18,0,70,10,0,0,0,0,0,0,92,6,98,0,0,98,0
dr5pz0,0,0,1,3,0,0,81,29,1,2,0,0,0,0,78,39,117,0,1,116,0
dr5pz1,0,0,0,1,30,0,44,14,2,4,0,0,0,0,60,35,95,0,0,95,0
dr5pz4,0,0,0,0,0,0,66,6,0,22,0,0,0,0,94,0,94,0,0,94,0
dr5pz5,0,0,0,0,16,0,41,0,0,14,0,0,0,0,64,7,71,0,0,71,0
dr5pz6,0,0,0,0,28,0,23,10,2,2,0,0,0,0,56,9,63,2,0,65,0
dr5pz7,0,0,0,17,2,0,8,31,1,12,0,0,0,0,42,29,61,10,0,71,0
dr5pzd,0,0,0,0,28,0,40,2,0,31,1,0,0,0,92,10,97,5,0,102,0
dr5pze,0,0,0,0,12,0,77,16,0,12,0,0,0,0,108,9,105,12,0,117,0
dr5pzh,0,0,0,0,13,0,43,13,1,32,0,0,0,0,76,26,94,8,0,102,0
dr5pzj,0,0,0,0,14,0,58,23,1,28,0,0,0,0,106,18,120,4,0,124,0
dr5pzm,0,0,0,0,20,0,13,9,0,20,0,0,0,0,56,6,58,4,0,62,0
dr5pzq,0,0,0,0,0,0,22,7,1,33,0,0,0,0,54,9,60,3,0,63,0
dr5pzt,0,0,0,0,0,0,57,2,0,59,1,0,0,0,96,23,119,0,0,119,0
dr5pzv,0,0,0,0,10,0,69,0,0,4,0,0,0,0,66,17,81,2,0,83,0
dr5pzy,0,0,0,0,16,0,96,0,0,1,0,0,0,1,94,20,114,0,0,114,0
dr5qbe,0,0,0,0,0,0,50,0,0,20,0,0,0,0,66,4,70,0,0,70,0
dr5qbm,0,0,0,0,5,5,68,0,0,16,0,0,0,0,86,8,94,0,0,94,0
dr5qbq,0,0,0,0,4,0,57,0,0,9,1,0,0,0,62,9,71,0,0,71,0
dr5qbw,0,0,0,0,0,0,35,0,0,0,0,0,0,0,24,11,35,0,0,35,0
dr5qbx,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,3,5,0,0,5,0
dr5qc3,0,0,0,0,0,0,97,23,1,0,0,0,0,0,74,47,120,1,0,121,0
dr5qf4,0,0,0,0,0,0,100,15,0,0,0,0,0,0,92,23,115,0,0,115,0
dr5qfh,0,0,0,0,4,0,56,0,0,4,0,0,0,0,52,12,64,0,0,64,0
dr5qft,0,0,0,0,0,0,65,11,2,0,0,0,0,0,58,20,78,0,0,78,0
dr5qfx,0,0,9,17,1,0,20,22,3,12,0,0,0,0,28,56,74,10,0,84,0
dr5qu4,0,0,0,0,0,0,49,35,0,0,0,0,0,0,48,36,84,0,1,83,0
dr5qu7,0,0,0,0,0,0,23,26,0,0,0,0,0,0,38,11,47,2,0,49,0
dr5qud,0,0,0,0,0,0,23,12,0,0,0,0,0,0,28,7,35,0,0,35,0
dr5que,0,0,0,1,0,0,26,24,1,0,0,0,0,0,18,34,52,0,0,52,0
dr5quf,0,0,0,0,0,0,58,28,0,0,0,0,0,0,22,64,86,0,0,86,0
dr5qug,0,0,0,0,0,0,78,42,3,0,0,0,0,1,76,48,124,0,0,124,0
dr5quj,0,0,0,0,0,0,25,7,0,2,0,0,0,2,16,20,36,0,0,36,0
dr5quk,0,0,3,15,0,0,62,22,0,0,0,0,0,0,46,56,98,4,0,102,0
dr5qum,0,0,0,0,0,0,64,26,0,24,0,0,0,0,90,24,114,0,0,114,0
dr5qun,0,0,0,6,10,0,20,29,0,22,0,0,0,3,50,40,90,0,0,90,0
dr5qup,0,0,0,0,4,0,14,18,0,48,0,0,0,0,68,16,84,0,0,84,0
dr5quq,0,0,0,0,0,0,37,40,0,20,0,0,0,0,82,15,97,0,0,97,0
dr5qur,0,0,0,0,8,0,62,16,0,0,0,0,0,0,64,22,86,0,0,86,0
dr5qut,0,0,0,0,0,0,81,28,0,0,0,0,0,0,78,31,109,0,0,109,0
dr5quw,0,0,0,0,0,0,66,32,0,0,0,0,0,0,72,26,98,0,0,98,0
dr5qux,0,0,0,0,0,0,57,6,0,26,0,0,0,0,70,19,87,2,0,89,0
dr5qve,0,0,0,0,0,0,20,6,0,9,0,0,0,0,22,13,35,0,0,35,0
dr5qvh,0,0,2,5,0,0,66,29,0,28,1,0,0,2,64,69,133,0,0,133,0
dr5qvj,0,0,0,0,0,0,74,2,0,0,0,0,0,0,52,24,76,0,0,76,0
dr5qvk,0,0,0,0,0,0,64,65,1,8,0,0,0,0,58,80,138,0,0,138,0
dr5qvm,0,0,0,0,0,0,58,8,0,14,0,0,0,0,62,18,80,0,0,80,0
dr5qvn,0,0,0,0,0,0,62,26,0,0,0,0,0,0,52,36,88,0,0,88,0
dr5qvq,0,0,0,0,0,0,42,18,0,12,0,0,0,0,48,24,72,0,0,72,0
dr5qvs,0,0,1,4,0,0,59,31,0,0,0,0,0,0,34,61,93,2,0,95,0
dr5qvt,0,0,0,0,0,0,100,0,0,6,0,0,0,0,90,16,106,0,0,106,0
dr5qwp,0,0,0,0,0,0,20,0,0,9,0,0,0,7,22,14,36,0,0,36,0
dr5qz1,0,0,0,0,1,4,38,0,0,27,5,0,0,0,42,33,74,1,0,75,0
dr5qzd,0,0,0,0,0,0,32,0,0,16,0,0,0,0,36,12,48,0,0,48,0
dr5qzg,0,0,0,0,9,0,42,0,0,33,0,0,0,0,42,42,84,0,0,84,0
dr5r00,0,0,0,0,0,0,8,0,0,7,3,0,0,0,8,10,18,0,0,18,0
dr5r02,0,0,0,0,9,1,79,18,0,10,0,0,0,0,106,11,117,0,0,117,0
dr5r03,0,0,0,3,0,0,94,20,0,10,0,0,0,0,118,9,127,0,0,127,0
dr5r04,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0
dr5r05,0,0,1,3,0,0,6,13,1,8,1,0,0,0,18,15,33,0,0,33,0
dr5r09,0,0,5,7,0,0,45,14,0,4,0,0,0,0,54,21,71,4,0,75,0
dr5r0v,0,0,0,0,0,0,115,2,0,6,0,0,0,2,114,11,123,2,0,125,0
dr5r0y,0,0,0,0,0,0,14,12,0,0,0,0,0,0,26,0,26,0,0,26,0
dr5r10,0,0,0,2,0,0,85,17,0,18,0,0,0,0,88,34,120,2,0,122,0
dr5r11,0,0,0,0,0,0,63,25,0,34,0,0,0,0,110,12,122,0,0,122,0
dr5r18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,8,0,0,8,0
dr5r1b,0,0,0,1,6,0,92,4,0,3,0,0,0,0,92,14,104,2,0,106,0
dr5r1f,0,0,0,0,0,0,55,6,0,0,0,0,0,0,54,7,61,0,0,61,0
dr5r1g,0,0,0,0,0,0,28,0,0,0,0,0,0,0,26,2,28,0,0,28,0
dr5r1s,0,0,0,0,0,0,94,30,0,26,0,0,0,0,114,36,150,0,0,150,0
dr5r1t,0,0,0,0,0,0,51,0,0,42,0,0,0,0,66,27,93,0,0,93,0
dr5r1z,0,0,0,0,0,0,13,6,0,0,0,0,0,0,18,1,19,0,0,19,0
dr5r24,0,0,0,0,0,0,10,0,0,13,2,0,0,0,18,7,25,0,0,25,0
dr5r2p,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,9,4,5,0,9,0
dr5r2y,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,4,0
dr5r30,0,0,0,3,3,0,64,20,0,62,0,0,0,0,132,20,152,0,0,152,0
dr5r33,0,0,1,1,0,0,35,16,0,24,0,2,2,0,50,31,81,0,0,81,0
dr5r36,0,0,0,0,4,0,35,24,0,26,0,0,0,0,58,31,89,0,0,89,0
dr5r37,0,0,0,0,12,0,32,14,0,23,0,0,0,0,66,15,81,0,0,81,0
dr5r39,0,0,0,0,0,0,0,0,0,7,1,4,1,0,0,13,13,0,0,13,0
dr5r3d,0,0,0,0,0,0,54,0,0,6,0,6,3,0,52,17,69,0,0,69,0
dr5r3e,0,0,0,0,0,0,19,14,0,20,0,8,6,3,48,22,66,4,0,70,0
dr5r3m,0,0,0,0,4,0,4,0,0,2,0,0,0,17,22,5,25,2,0,27,0
dr5r3s,0,0,0,0,0,0,14,32,0,24,4,3,2,0,54,25,79,0,0,79,0
dr5r3t,0,0,0,0,10,0,40,20,0,20,0,0,0,4,72,22,94,0,0,94,0
dr5r3v,0,0,4,5,0,0,2,17,0,13,1,14,8,0,32,32,61,3,0,64,0
dr5r3y,0,0,2,10,0,0,5,12,0,15,0,3,5,9,24,37,59,2,0,61,0
dr5r40,0,0,2,2,14,0,81,13,1,23,0,0,0,0,76,60,134,2,0,136,0
dr5r41,0,0,0,0,0,0,64,15,0,20,0,0,0,0,74,25,99,0,0,99,0
dr5r45,0,0,0,0,0,0,68,7,0,5,0,0,0,0,72,8,80,0,0,80,0
dr5r46,0,0,0,0,0,0,112,10,0,26,0,0,0,3,136,15,151,0,0,151,0
dr5r47,0,0,0,0,0,0,48,8,0,20,0,0,0,4,60,20,80,0,0,80,0
dr5r4k,0,0,0,0,0,0,26,27,0,2,0,0,0,5,40,20,60,0,0,60,0
dr5r4m,0,0,0,0,0,0,32,38,0,0,0,0,0,12,46,36,80,2,0,82,0
dr5r4q,0,0,0,0,0,0,39,11,7,0,0,0,0,2,30,29,57,2,0,59,0
dr5r4r,0,0,0,0,0,0,13,8,4,0,0,0,0,2,12,15,25,2,0,27,0
