geohash,Commercial/Services_weekday,Culture & Leisure_weekday,Educational_weekday,Healthcare & Welfare_weekday,Residential_weekday,Transportation_weekday,count_weekday,major_category_weekday,Commercial/Services_holiday,Culture & Leisure_holiday,Educational_holiday,Healthcare & Welfare_holiday,Residential_holiday,Transportation_holiday,count_holiday,major_category_holiday,Commercial/Services_morning,Culture & Leisure_morning,Educational_morning,Healthcare & Welfare_morning,Residential_morning,Transportation_morning,count_morning,major_category_morning,Commercial/Services_afternoon,Culture & Leisure_afternoon,Educational_afternoon,Healthcare & Welfare_afternoon,Residential_afternoon,Transportation_afternoon,count_afternoon,major_category_afternoon,Commercial/Services_evening,Culture & Leisure_evening,Educational_evening,Healthcare & Welfare_evening,Residential_evening,Transportation_evening,count_evening,major_category_evening,Commercial/Services_night,Culture & Leisure_night,Educational_night,Healthcare & Welfare_night,Residential_night,Transportation_night,count_night,major_category_night
dr5nzz,0.0,0.0,1.0,0.0,0.0,0.0,20.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,18.0,Educational,0.0,0.0,1.0,0.0,0.0,0.0,38.0,Educational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5ppn,1.0,0.0,0.0,0.0,0.0,0.0,15.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,7.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,18.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5ppt,0.0,0.0,0.0,0.0,0.0,1.0,14.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,8.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,8.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,9.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation
dr5pqc,0.0,0.0,0.0,0.0,0.0,1.0,9.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation
dr5pqe,0.0,0.0,0.0,0.0,1.0,0.0,15.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,8.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,13.0,Residential
dr5pr0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,16.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,6.0,Culture & Leisure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5pr5,0.0,0.0,0.0,0.0,0.0,1.0,15.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,9.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation
dr5pr6,0.21428571428571427,0.0,0.0,0.0,0.7857142857142857,0.0,14.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Residential,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,6.0,Residential,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,7.0,Residential,0.5,0.0,0.0,0.0,0.5,0.0,2.0,Commercial/Services,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential
dr5prd,1.0,0.0,0.0,0.0,0.0,0.0,21.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,8.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dr5prg,0.0,0.0,0.0,0.0,0.0,1.0,20.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,17.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,Transportation
