src,dst,distance_km,weight
4db44994cda1c57c82583709,406dfe80f964a52048f21ee3,0.06515,0.9388349058818006
4db44994cda1c57c82583709,4ad4bc35f964a520f9e820e3,0.06615,0.937954321624537
4db44994cda1c57c82583709,4baa1906f964a520714a3ae3,0.07467,0.9305182055886924
4db44994cda1c57c82583709,4c8e330f1664b1f784329e2f,0.08391,0.9225858235462354
4db44994cda1c57c82583709,4a70539cf964a52049d71fe3,0.08742,0.919607879200309
40f1d480f964a5205b0a1fe3,4ac3f3a5f964a520989d20e3,0.00332,0.9966909859267233
46ea2358f964a520cf4a1fe3,4b1b1f52f964a52074f823e3,0.02927,0.9715623694463067
46ea2358f964a520cf4a1fe3,4eac4dd4775bf0856a5a9dd0,0.04883,0.9534433606971578
46ea2358f964a520cf4a1fe3,4665447af964a5207f471fe3,0.0626,0.9410878976096367
40fb0f00f964a520d90a1fe3,4a0b05a7f964a520bb741fe3,0.02088,0.9795470574406394
40fb0f00f964a520d90a1fe3,4abfcad8f964a5203b9220e3,0.0739,0.9311853990129434
40fb0f00f964a520d90a1fe3,49e4df73f964a52062631fe3,0.09282,0.9150637799454623
428d2880f964a520b5231fe3,4ba2a905f964a520930d38e3,0.0,1.0
428d2880f964a520b5231fe3,4e03351ed164b56ad5332dc5,0.02095,0.979479896175131
428d2880f964a520b5231fe3,4b81b547f964a52014b930e3,0.08553,0.9212089946846242
4e742aabc65bb91db3cadb79,4c1836421436a593271a8d75,0.02889,0.9719211966293773
4e742aabc65bb91db3cadb79,4e7741b845ddd4324086eaac,0.05144,0.9510766187324051
3fd66200f964a520fbe71ee3,3fd66200f964a520a4e31ee3,0.07812,0.9275405335213149
3fd66200f964a520fbe71ee3,4a808da6f964a52097f51fe3,0.09776,0.9109459262498177
49d2b43ef964a520cb5b1fe3,4d00b2c6ba1da1cd33ec8928,0.06176,0.9418324291742013
49d2b43ef964a520cb5b1fe3,4bb3f3f80cbcef3b5d8a582a,0.06597,0.9381127048603618
4aab0204f964a520855820e3,4af8b51bf964a5204c0f22e3,0.00761,0.9924474747174007
4aab0204f964a520855820e3,4bc53e2b6c26b7139a26ebf3,0.07737,0.9281862312854452
4aab0204f964a520855820e3,49c2df9cf964a5203b561fe3,0.08655,0.9203442087340666
4aab0204f964a520855820e3,4de0334681305a50777ff565,0.08873,0.9185013731595529
4aab0204f964a520855820e3,45b24bbef964a520a5411fe3,0.08952,0.9178353770467729
4aab0204f964a520855820e3,40a16900f964a520f9f21ee3,0.09256,0.9152815406018892
3fd66200f964a520e9e61ee3,4c3abbc9b2289521d209f70c,0.00183,0.9981733427827076
3fd66200f964a520e9e61ee3,41e46880f964a520d41e1fe3,0.03901,0.9624546443248863
3fd66200f964a520e9e61ee3,46046e6bf964a520b6441fe3,0.05963,0.9437256400819153
3fd66200f964a520e9e61ee3,4aba9edbf964a520248220e3,0.09208,0.9156838326862501
467ffefcf964a52019481fe3,3fd66200f964a520dbe81ee3,0.02097,0.9794607089336612
467ffefcf964a52019481fe3,4cd302589828b60cb43fd384,0.09131,0.9163299154227488
4e691e82b9930387355c629d,491ada01f964a52072521fe3,0.01441,0.985794698396112
4e691e82b9930387355c629d,49a71dd1f964a520a0521fe3,0.03391,0.9672021742704877
4e691e82b9930387355c629d,4bb3ec359af3b7132dc48b28,0.0521,0.95047999239616
4e691e82b9930387355c629d,47ea2d31f964a520644e1fe3,0.06637,0.9377608147265958
4e691e82b9930387355c629d,4ab04eb9f964a520fe6620e3,0.09621,0.9122339697685663
3fd66200f964a52048e81ee3,3fd66200f964a5200ce91ee3,0.03748,0.9638740023904075
3fd66200f964a520c5f11ee3,3fd66200f964a520dfe31ee3,0.04494,0.9569927459949854
3fd66200f964a520c5f11ee3,4e8b9f70f5b91e22553ad7e5,0.07776,0.9278503562945368
3fd66200f964a520c5f11ee3,4cc35db6d43ba14387a35ff8,0.08834,0.9188305125236598
3fd66200f964a520c5f11ee3,4169cd00f964a5208a1d1fe3,0.09028,0.9171955827860734
3fd66200f964a520c5f11ee3,43582f80f964a520de281fe3,0.09168,0.9160193463285945
3fd66200f964a520c5f11ee3,3fd66200f964a52024e41ee3,0.09804,0.9107136352045464
4d9885ae647d8cfa23ccf03d,4dd7c0afd1647fcf3e518ff3,0.0163,0.9839614287119945
474d3e5df964a520a24c1fe3,427c0500f964a5209a211fe3,0.01238,0.9877713901894545
474d3e5df964a520a24c1fe3,4ec5666d4fc6711af251cbfd,0.0439,0.9579461634256154
474d3e5df964a520a24c1fe3,4da491f6593f8eec9a257e35,0.07881,0.92694728450793
4cc9a5760f7bef3b5f9c7fdd,4b7831d2f964a5205ebb2ee3,0.00678,0.9932656588331115
4cc9a5760f7bef3b5f9c7fdd,4a0e0f85f964a520bf751fe3,0.03194,0.9690485880962071
4cc9a5760f7bef3b5f9c7fdd,4aa52d50f964a520834720e3,0.03194,0.9690485880962071
4cc9a5760f7bef3b5f9c7fdd,4b97bb2cf964a520541235e3,0.03206,0.9689359145786098
