geohash,Commercial/Services_weekday,Culture & Leisure_weekday,Educational_weekday,Healthcare & Welfare_weekday,Residential_weekday,Transportation_weekday,count_weekday,Commercial/Services_holiday,Culture & Leisure_holiday,Educational_holiday,Healthcare & Welfare_holiday,Residential_holiday,Transportation_holiday,count_holiday,Commercial/Services_morning,Culture & Leisure_morning,Educational_morning,Healthcare & Welfare_morning,Residential_morning,Transportation_morning,count_morning,Commercial/Services_afternoon,Culture & Leisure_afternoon,Educational_afternoon,Healthcare & Welfare_afternoon,Residential_afternoon,Transportation_afternoon,count_afternoon,Commercial/Services_evening,Culture & Leisure_evening,Educational_evening,Healthcare & Welfare_evening,Residential_evening,Transportation_evening,count_evening,Commercial/Services_night,Culture & Leisure_night,Educational_night,Healthcare & Welfare_night,Residential_night,Transportation_night,count_night,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
xn74r5,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,57.0,2.0,0.0,0.0,164.0,268.0,13.0,275.0,6.0,0.0,281.0,0.0
xn74r7,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,52.0,0.0,0.0,0.0,104.0,224.0,0.0,224.0,0.0,0.0,224.0,0.0
xn74r9,0.2352941176470588,0.0,0.0,0.0261437908496732,0.0,0.738562091503268,153.0,0.4230769230769231,0.0,0.0,0.0384615384615384,0.0,0.5384615384615384,26.0,0.3232323232323232,0.0,0.0,0.0,0.0,0.6767676767676768,99.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.4285714285714285,21.0,0.12,0.0,0.0,0.04,0.0,0.84,50.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,139.0,0.0,0.0,58.0,0.0,12.0,0.0,34.0,232.0,17.0,235.0,14.0,0.0,249.0,0.0
xn74rc,0.5636363636363636,0.0,0.4363636363636363,0.0,0.0,0.0,55.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,3.0,0.5625,0.0,0.4375,0.0,0.0,0.0,32.0,0.5,0.0,0.5,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,138.0,0.0,0.0,61.0,0.0,0.0,0.0,68.0,276.0,5.0,273.0,8.0,0.0,281.0,0.0
xn74rd,0.0,0.0,0.0,0.0,0.0,1.0,66.0,0.0,0.2258064516129032,0.0,0.0,0.0,0.7741935483870968,31.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,0.2413793103448276,0.0,0.0,0.0,0.7586206896551724,29.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,18.0,0.0,164.0,0.0,0.0,30.0,0.0,0.0,0.0,90.0,300.0,2.0,294.0,8.0,0.0,300.0,2.0
xn74re,0.0362173038229376,0.0,0.0523138832997987,0.0,0.0,0.9114688128772636,497.0,0.0833333333333333,0.0,0.0572916666666666,0.0,0.0,0.859375,192.0,0.0073529411764705,0.0,0.025735294117647,0.0,0.0,0.9669117647058824,272.0,0.0845070422535211,0.0,0.0704225352112676,0.0,0.0,0.8450704225352113,142.0,0.0700934579439252,0.0,0.0654205607476635,0.0,0.0,0.8644859813084113,214.0,0.081967213114754,0.0,0.0983606557377049,0.0,0.0,0.819672131147541,61.0,0.0,0.0,0.0,0.0,29.0,0.0,83.0,0.0,0.0,58.0,0.0,0.0,0.0,159.0,308.0,21.0,318.0,11.0,0.0,329.0,0.0
xn74rf,0.0,0.0,0.0,0.044,0.0,0.956,250.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,0.0,0.0,0.0,0.0606060606060606,0.0,0.9393939393939394,99.0,0.0,0.0,0.0,0.0694444444444444,0.0,0.9305555555555556,72.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,16.0,0.0,43.0,0.0,3.0,10.0,118.0,216.0,48.0,254.0,10.0,0.0,264.0,0.0
xn74rg,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,38.0,0.0,5.0,1.0,76.0,328.0,6.0,332.0,2.0,0.0,332.0,2.0
xn74rh,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,50.0,0.0,0.0,0.0,138.0,270.0,4.0,268.0,6.0,0.0,274.0,0.0
xn74rs,0.2786069651741293,0.0,0.0,0.0,0.0,0.7213930348258707,201.0,0.373134328358209,0.0,0.0,0.0,0.0,0.6268656716417911,134.0,0.2352941176470588,0.0,0.0,0.0,0.0,0.7647058823529411,34.0,0.3720930232558139,0.0,0.0,0.0,0.0,0.627906976744186,86.0,0.3782051282051282,0.0,0.0,0.0,0.0,0.6217948717948718,156.0,0.1186440677966101,0.0,0.0,0.0,0.0,0.8813559322033898,59.0,0.0,0.0,0.0,0.0,8.0,0.0,42.0,0.0,0.0,66.0,0.0,0.0,0.0,203.0,310.0,9.0,312.0,7.0,0.0,319.0,0.0
