geohash_start,geohash_end,weight
xn74r5,xn74r7,12
xn74r5,xn74rh,18
xn74r7,xn74rd,2
xn74r7,xn74re,16
xn74r7,xn74rs,2
xn74r9,xn74rc,22
xn74r9,xn74rd,24
xn74rc,xn74rf,28
xn74rc,xn7621,5
xn74rd,xn74re,21
xn74rd,xn74rf,10
xn74re,xn74rg,16
xn74re,xn74rs,24
xn74rf,xn74rg,36
xn74rf,xn7621,2
xn74rf,xn7624,10
xn74rg,xn74rs,2
xn74rg,xn74ru,31
xn74rs,xn74ru,10
xn74ru,xn762h,20
xn74rx,xn74x8,26
xn74ry,xn762n,22
xn74ry,xn762p,2
xn74vf,xn74vg,6
xn74vf,xn74y4,6
xn74vg,xn74vu,17
xn74vg,xn74y5,8
xn74vu,xn74vv,15
xn74vu,xn74yh,4
xn74vu,xn74yj,2
xn74vv,xn74vy,29
xn74vv,xn74yj,12
xn74vy,xn74vz,15
xn74vy,xn74yn,13
xn74vz,xn75jb,4
xn74w9,xn74wd,31
xn74w9,xn74wf,2
xn74wd,xn74we,40
xn74wd,xn74wf,20
xn74wr,xn74y2,17
xn74wv,xn74wy,14
xn74wv,xn74xj,14
xn74wy,xn74wz,26
xn74wy,xn74xj,2
xn74wy,xn74xn,8
xn74wz,xn74xn,2
xn74wz,xn74yb,18
xn74x0,xn74x2,18
xn74x0,xn74x3,2
xn74x2,xn74x3,18
xn74x2,xn74x8,12
xn74x3,xn74x6,22
xn74x5,xn74x7,26
xn74x5,xn74xk,2
xn74x6,xn74x7,28
xn74x6,xn74xd,10
xn74x7,xn74xe,2
xn74x7,xn74xk,22
xn74xd,xn74xe,8
xn74xe,xn74xg,9
xn74xf,xn74xg,4
xn74xf,xn7684,2
xn74xg,xn74xu,25
xn74xg,xn7684,2
xn74xg,xn7685,12
xn74xj,xn74xn,26
xn74xn,xn74xq,16
xn74xq,xn74xw,6
xn74xu,xn74xv,30
xn74xu,xn768h,16
xn74xv,xn74xw,2
xn74xv,xn768j,2
xn74y0,xn74y1,4
xn74y0,xn74y2,14
xn74y1,xn74y4,12
xn74y4,xn74y5,9
xn74y4,xn74y6,4
xn74y5,xn74y6,2
xn74y5,xn74yh,6
xn74y5,xn74yk,2
xn74y6,xn74yd,12
xn74yb,xn74yc,12
xn74yb,xn74z0,4
xn74yc,xn74z1,6
xn74yg,xn74ys,2
xn74yg,xn74yu,21
xn74yg,xn74z4,2
xn74yg,xn74z5,12
xn74yh,xn74yj,12
xn74yh,xn74yk,13
xn74yj,xn74ym,18
xn74yj,xn74yn,25
xn74yk,xn74ym,20
xn74yk,xn74ys,10
xn74ys,xn74yu,14
xn74yu,xn74z5,1
xn74yu,xn74zh,1
xn74yy,xn74yz,18
xn74z0,xn74z1,37
xn74z0,xn74z3,2
xn74z1,xn74z3,7
xn74z1,xn74z4,14
xn74z3,xn74z4,2
xn74z3,xn74z6,20
xn74z3,xn74z9,8
xn74z4,xn74z5,21
xn74z4,xn74z6,10
xn74z5,xn74z7,15
xn74z5,xn74zh,15
xn74z6,xn74z7,24
xn74z6,xn74z9,2
xn74z6,xn74zd,8
xn74z8,xn74z9,16
xn74z8,xn74zb,8
xn74z8,xn74zc,2
xn74z9,xn74zc,10
xn74z9,xn74zd,22
xn74z9,xn74zf,4
xn74zb,xn74zc,14
xn74zc,xn74zf,28
xn74zc,xn76b4,2
xn74zd,xn74zf,18
xn74zd,xn74zg,2
xn74zf,xn74zg,25
xn74zf,xn76b4,16
xn74zg,xn76b5,17
xn74zh,xn74zj,4
xn74zr,xn74zx,8
xn74zt,xn74zy,2
xn74zx,xn74zz,2
xn74zx,xn75p8,19
xn74zy,xn74zz,7
xn74zz,xn75pb,16
xn75jf,xn75jg,2
xn75jg,xn75n5,15
xn75jg,xn75nh,2
xn75jv,xn75jy,21
xn75jv,xn75nh,2
xn75jy,xn75jz,10
xn75jz,xn75mb,44
xn75n2,xn75n8,8
xn75n5,xn75nh,20
xn75nd,xn75ne,20
xn75nd,xn75ng,2
xn75ne,xn75ng,12
xn75ng,xn75nu,22
xn75ng,xn75p5,8
