geohash,major_category_weekday,major_category_holiday,major_category_morning,major_category_afternoon,major_category_evening,major_category_night
xn74r5,Commercial/Services,Commercial/Services,0,0,Commercial/Services,Commercial/Services
xn74r7,Commercial/Services,0,0,0,Commercial/Services,Commercial/Services
xn74r9,Transportation,Transportation,Transportation,Commercial/Services,Transportation,Transportation
xn74rc,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn74rd,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74re,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74rf,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74rg,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn74rh,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn74rs,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74ru,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn74rx,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,0
xn74ry,Transportation,Transportation,Transportation,0,0,Transportation
xn74vb,Residential,Residential,0,Residential,Residential,Residential
xn74vf,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,0,0
xn74vg,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,0
xn74vu,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74vv,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74vy,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn74vz,Transportation,Commercial/Services,Transportation,Commercial/Services,Transportation,Transportation
xn74w9,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74wd,Healthcare & Welfare,Healthcare & Welfare,0,0,Healthcare & Welfare,0
xn74we,Transportation,Transportation,Transportation,0,Transportation,Transportation
xn74wf,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74wr,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74wv,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
xn74wy,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
xn74wz,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,Commercial/Services
xn74x0,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
xn74x2,Transportation,Transportation,Transportation,Commercial/Services,Transportation,0
xn74x3,Commercial/Services,Commercial/Services,0,Commercial/Services,Commercial/Services,0
xn74x5,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
