geohash,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
xn74r5,0,0,0,0,0,0,58,0,0,57,2,0,0,164,268,13,275,6,0,281,0
xn74r7,0,0,0,0,0,0,68,0,0,52,0,0,0,104,224,0,224,0,0,224,0
xn74r9,0,0,0,0,6,0,139,0,0,58,0,12,0,34,232,17,235,14,0,249,0
xn74rc,0,0,0,0,14,0,138,0,0,61,0,0,0,68,276,5,273,8,0,281,0
xn74rd,0,0,0,0,18,0,164,0,0,30,0,0,0,90,300,2,294,8,0,300,2
xn74re,0,0,0,0,29,0,83,0,0,58,0,0,0,159,308,21,318,11,0,329,0
xn74rf,0,0,0,0,0,0,74,16,0,43,0,3,10,118,216,48,254,10,0,264,0
xn74rg,0,0,0,0,0,0,214,0,0,38,0,5,1,76,328,6,332,2,0,332,2
xn74rh,0,0,0,0,0,0,86,0,0,50,0,0,0,138,270,4,268,6,0,274,0
xn74rs,0,0,0,0,8,0,42,0,0,66,0,0,0,203,310,9,312,7,0,319,0
xn74ru,0,0,0,0,0,0,163,0,0,56,0,0,0,41,252,8,254,6,0,256,4
xn74rx,0,0,0,0,19,0,210,0,0,0,0,0,0,124,350,3,345,8,0,353,0
xn74ry,0,0,0,5,12,0,72,0,0,50,0,0,0,96,218,17,233,2,0,235,0
xn74vf,0,0,0,0,0,0,10,0,0,6,0,0,0,8,24,0,24,0,0,24,0
xn74vg,0,0,0,0,2,0,56,0,0,24,0,0,0,53,132,3,133,2,0,133,2
xn74vu,0,0,0,0,12,0,90,0,0,9,2,0,0,49,152,10,162,0,0,161,1
xn74vv,0,0,0,0,20,0,135,27,0,23,0,0,0,40,230,15,243,2,0,245,0
xn74vy,0,0,0,0,20,0,116,22,0,56,1,28,0,33,246,30,276,0,0,276,0
xn74vz,0,0,0,0,4,0,104,10,0,28,0,0,0,34,180,0,180,0,0,180,0
xn74w9,0,0,0,0,2,0,106,0,0,32,0,0,0,143,272,11,281,2,0,283,0
xn74wd,0,0,0,0,10,0,360,0,0,44,0,0,0,94,504,4,508,0,0,508,0
xn74we,0,0,0,0,0,0,400,0,0,80,0,0,0,36,516,0,516,0,0,516,0
xn74wf,0,0,0,0,8,0,346,0,0,10,0,0,0,113,476,1,475,2,0,477,0
xn74wr,0,0,0,0,37,2,165,0,0,76,0,0,0,75,300,55,331,24,0,345,10
xn74wv,0,0,0,0,0,0,48,0,0,6,0,0,0,18,72,0,72,0,0,72,0
xn74wy,0,0,0,0,0,0,92,2,0,8,0,0,0,44,140,6,142,4,0,146,0
xn74wz,0,0,0,0,22,1,164,22,0,10,0,0,0,42,248,13,255,6,0,261,0
xn74x0,0,0,0,0,0,0,150,0,0,66,0,0,0,52,268,0,264,4,0,268,0
xn74x2,0,0,0,0,0,0,90,0,0,32,0,0,0,112,234,0,232,2,0,234,0
xn74x3,0,2,0,0,0,0,250,0,0,60,0,0,0,89,400,1,395,6,0,401,0
xn74x5,0,0,0,0,14,0,200,0,0,24,0,0,0,70,308,0,294,14,0,308,0
xn74x6,0,0,0,0,0,0,110,0,0,46,0,0,0,72,228,0,228,0,0,228,0
xn74x7,0,0,0,0,18,0,204,0,0,30,0,0,0,47,298,1,291,8,0,299,0
xn74x8,0,0,0,0,18,0,141,0,0,30,0,0,0,142,328,3,315,16,0,329,2
xn74xd,0,0,0,0,10,0,60,0,0,16,0,0,0,42,128,0,128,0,0,128,0
xn74xe,0,0,0,0,39,4,69,0,0,0,0,0,0,70,148,34,162,20,0,182,0
xn74xf,0,0,0,0,0,0,26,0,0,16,0,0,0,0,42,0,42,0,0,42,0
xn74xg,0,0,0,0,16,0,112,0,0,18,0,0,0,63,198,11,189,20,0,209,0
xn74xj,0,0,0,0,0,0,148,0,0,70,0,0,0,34,252,0,252,0,0,252,0
xn74xk,0,0,0,0,2,0,234,0,0,24,0,0,0,38,298,0,292,6,0,298,0
xn74xn,0,0,0,0,18,0,159,0,0,20,0,0,0,64,256,5,237,24,0,260,1
xn74xq,0,0,0,0,10,0,194,0,0,10,0,0,0,78,292,0,264,28,0,292,0
xn74xu,0,0,0,0,24,0,214,0,0,120,0,0,0,159,476,41,511,6,0,517,0
xn74xv,0,0,0,0,4,0,146,0,0,70,0,0,0,22,238,4,242,0,0,242,0
xn74xw,0,0,0,0,0,0,96,0,0,28,0,0,0,42,166,0,166,0,0,166,0
xn74y0,0,0,0,0,0,0,64,0,0,30,2,0,0,0,90,6,96,0,0,96,0
xn74y1,0,0,0,0,22,4,116,0,0,40,0,0,0,38,192,28,218,2,0,218,2
xn74y2,0,0,0,0,8,0,273,0,0,54,6,0,0,79,402,18,420,0,0,420,0
xn74y4,0,0,0,0,0,11,29,0,0,12,0,0,0,10,48,14,62,0,0,60,2
xn74y5,0,0,0,0,16,4,98,28,0,30,0,0,0,51,208,19,225,2,0,227,0
xn74y6,0,0,0,0,0,0,148,0,0,6,0,0,0,32,186,0,186,0,0,186,0
xn74yb,0,0,0,0,48,3,113,0,0,46,0,0,0,58,226,42,256,12,0,268,0
xn74yc,0,0,0,0,0,0,22,0,0,10,0,0,0,16,48,0,48,0,0,48,0
xn74yd,0,0,0,0,13,3,32,0,0,6,0,0,0,4,48,10,56,2,0,58,0
xn74yg,0,0,0,0,0,0,153,4,0,44,0,0,0,64,260,5,265,0,0,265,0
xn74yh,0,0,0,0,0,0,8,0,0,33,3,0,0,10,38,16,54,0,0,54,0
xn74yj,0,0,0,0,12,0,220,14,6,26,0,19,0,59,328,28,356,0,0,356,0
xn74yk,0,0,0,0,0,0,176,12,2,56,0,0,0,41,276,11,285,2,0,285,2
xn74ym,0,0,0,0,0,0,162,48,4,26,0,18,0,70,304,24,328,0,0,326,2
xn74yn,0,0,0,0,32,0,194,0,0,54,0,2,0,29,268,43,311,0,0,311,0
xn74ys,0,0,0,0,0,0,86,6,0,28,0,0,0,68,180,8,183,5,0,188,0
xn74yu,0,0,0,0,0,0,58,16,0,22,0,13,0,56,148,17,165,0,0,165,0
xn74yy,0,0,0,0,0,0,47,12,0,22,0,0,0,43,114,10,124,0,0,124,0
xn74yz,0,0,0,0,0,0,124,10,0,16,0,0,0,84,234,0,234,0,0,234,0
xn74z0,0,0,0,0,0,1,102,0,0,28,0,0,0,20,150,1,151,0,0,147,4
xn74z1,0,0,0,0,17,3,137,12,0,28,0,0,0,48,218,27,234,11,0,245,0
xn74z3,0,0,0,0,0,0,188,14,0,44,0,0,0,40,276,10,286,0,0,285,1
xn74z4,0,0,0,0,2,0,115,4,0,35,0,0,0,71,212,15,225,2,0,227,0
xn74z5,0,0,0,8,0,0,133,46,0,26,0,17,0,28,214,44,250,8,0,258,0
xn74z6,0,0,0,0,9,0,85,18,0,38,0,18,0,70,212,26,238,0,0,238,0
xn74z7,0,0,0,0,24,0,107,0,3,20,0,5,0,38,182,15,197,0,0,197,0
xn74z8,0,0,0,0,0,0,189,0,0,82,0,0,0,12,280,3,283,0,0,283,0
xn74z9,0,0,0,0,8,0,185,14,0,40,0,0,0,34,266,15,281,0,0,281,0
xn74zb,0,0,0,0,14,0,147,0,0,36,0,0,0,39,230,6,227,9,0,236,0
xn74zc,0,0,0,0,16,0,56,0,0,36,0,0,0,90,186,12,194,4,0,198,0
xn74zd,0,0,0,0,2,0,185,26,0,8,0,38,0,100,356,3,359,0,0,359,0
xn74zf,0,0,0,0,12,8,128,0,0,10,0,24,0,84,254,12,258,8,0,264,2
xn74zg,0,0,0,0,0,0,209,0,0,28,0,12,0,36,282,3,285,0,0,285,0
xn74zh,0,0,0,0,0,0,104,18,0,4,0,0,0,22,148,0,148,0,0,148,0
xn74zj,0,0,0,0,0,0,30,2,0,12,0,0,0,20,64,0,62,2,0,64,0
xn74zr,0,0,0,0,22,3,132,28,0,4,0,0,0,50,206,33,239,0,0,239,0
xn74zt,0,0,0,0,0,0,54,12,0,29,0,0,0,37,124,8,132,0,0,132,0
xn74zx,0,0,0,0,32,0,149,10,0,0,0,0,0,75,222,44,266,0,0,266,0
xn74zy,0,0,0,0,0,0,149,28,0,36,0,0,0,41,234,20,254,0,0,254,0
xn74zz,0,0,0,0,13,5,38,42,0,22,0,0,0,12,114,18,120,12,0,132,0
xn75jb,0,0,0,0,20,3,110,8,0,12,0,0,0,24,146,31,177,0,0,177,0
xn75jf,0,0,0,0,0,0,198,48,0,44,0,0,0,68,352,6,352,6,0,358,0
xn75jg,0,0,0,0,0,0,87,0,0,64,0,0,0,51,200,2,202,0,0,202,0
xn75jv,0,0,0,0,6,0,149,0,0,4,0,0,0,28,184,3,183,4,0,187,0
xn75jy,0,0,0,0,14,0,92,0,0,34,0,0,0,40,178,2,174,6,0,180,0
xn75jz,0,0,0,0,0,0,218,0,0,48,0,0,0,42,304,4,308,0,0,308,0
xn75mb,0,0,0,0,32,0,196,0,0,28,0,0,0,26,280,2,255,27,0,282,0
xn75n2,0,0,0,0,17,0,198,18,0,24,0,0,0,24,280,1,281,0,0,281,0
xn75n5,0,0,0,0,0,0,154,62,0,12,0,0,0,44,266,6,272,0,0,272,0
xn75n8,0,0,0,0,4,1,18,0,0,4,0,0,0,10,28,9,37,0,0,37,0
xn75nd,0,0,0,0,16,0,125,36,0,10,0,0,0,67,240,14,254,0,0,252,2
xn75ne,0,0,0,0,20,0,197,0,0,38,0,0,0,96,324,27,351,0,0,351,0
xn75ng,0,0,0,0,0,0,136,0,0,74,0,0,0,89,290,9,299,0,0,299,0
xn75nh,0,0,0,0,0,0,116,18,0,28,0,0,0,24,186,0,186,0,0,186,0
xn75nk,0,0,0,0,0,0,131,12,0,64,0,0,0,16,218,5,215,8,0,223,0
xn75nr,0,0,0,0,0,0,58,36,0,0,0,0,0,53,136,11,143,4,0,147,0
xn75nt,0,0,0,0,34,0,142,0,0,8,0,0,0,128,292,20,302,10,0,312,0
xn75nu,0,0,0,0,0,0,244,0,0,46,0,0,0,50,332,8,325,15,0,340,0
xn75nv,0,0,0,0,30,0,114,0,0,10,0,0,0,61,200,15,209,6,0,215,0
xn75nx,0,0,0,0,18,0,83,36,0,14,0,0,0,38,164,25,181,8,0,189,0
xn75ny,0,0,0,0,0,0,14,0,0,16,0,0,0,82,110,2,108,4,0,112,0
xn75p1,0,0,0,0,0,0,259,8,0,0,0,0,0,10,276,1,277,0,0,277,0
xn75p5,0,0,0,0,0,0,143,0,0,38,0,0,0,88,246,23,269,0,0,269,0
xn75p7,0,0,0,0,6,0,152,32,0,110,1,0,0,32,300,33,333,0,0,331,2
xn75p8,0,0,0,0,22,1,211,44,0,32,0,0,0,16,264,62,326,0,0,326,0
xn75pb,0,0,0,0,0,0,55,12,0,20,0,0,0,16,102,1,99,4,0,103,0
xn75pc,0,0,0,0,0,0,151,70,0,16,0,0,0,30,240,27,267,0,0,267,0
xn75pd,0,0,0,0,34,0,308,26,0,46,0,0,0,7,354,67,404,17,0,421,0
xn75pe,0,0,0,0,18,0,217,8,2,74,0,0,0,34,306,47,353,0,0,351,2
