geohash,Commercial/Services_weekday,Culture & Leisure_weekday,Educational_weekday,Healthcare & Welfare_weekday,Residential_weekday,Transportation_weekday,count_weekday,major_category_weekday,Commercial/Services_holiday,Culture & Leisure_holiday,Educational_holiday,Healthcare & Welfare_holiday,Residential_holiday,Transportation_holiday,count_holiday,major_category_holiday,Commercial/Services_morning,Culture & Leisure_morning,Educational_morning,Healthcare & Welfare_morning,Residential_morning,Transportation_morning,count_morning,major_category_morning,Commercial/Services_afternoon,Culture & Leisure_afternoon,Educational_afternoon,Healthcare & Welfare_afternoon,Residential_afternoon,Transportation_afternoon,count_afternoon,major_category_afternoon,Commercial/Services_evening,Culture & Leisure_evening,Educational_evening,Healthcare & Welfare_evening,Residential_evening,Transportation_evening,count_evening,major_category_evening,Commercial/Services_night,Culture & Leisure_night,Educational_night,Healthcare & Welfare_night,Residential_night,Transportation_night,count_night,major_category_night
xn74r5,1.0,0.0,0.0,0.0,0.0,0.0,5.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services
xn74r7,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Commercial/Services
xn74r9,0.23529411764705882,0.0,0.0,0.026143790849673203,0.0,0.738562091503268,153.0,Transportation,0.4230769230769231,0.0,0.0,0.038461538461538464,0.0,0.5384615384615384,26.0,Transportation,0.32323232323232326,0.0,0.0,0.0,0.0,0.6767676767676768,99.0,Transportation,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,21.0,Commercial/Services,0.12,0.0,0.0,0.04,0.0,0.84,50.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,9.0,Transportation
xn74rc,0.5636363636363636,0.0,0.43636363636363634,0.0,0.0,0.0,55.0,Commercial/Services,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,3.0,Commercial/Services,0.5625,0.0,0.4375,0.0,0.0,0.0,32.0,Commercial/Services,0.5,0.0,0.5,0.0,0.0,0.0,22.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services
xn74rd,0.0,0.0,0.0,0.0,0.0,1.0,66.0,Transportation,0.0,0.22580645161290322,0.0,0.0,0.0,0.7741935483870968,31.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,43.0,Transportation,0.0,0.2413793103448276,0.0,0.0,0.0,0.7586206896551724,29.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,20.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation
xn74re,0.03621730382293763,0.0,0.052313883299798795,0.0,0.0,0.9114688128772636,497.0,Transportation,0.08333333333333333,0.0,0.057291666666666664,0.0,0.0,0.859375,192.0,Transportation,0.007352941176470588,0.0,0.025735294117647058,0.0,0.0,0.9669117647058824,272.0,Transportation,0.08450704225352113,0.0,0.07042253521126761,0.0,0.0,0.8450704225352113,142.0,Transportation,0.07009345794392523,0.0,0.06542056074766354,0.0,0.0,0.8644859813084113,214.0,Transportation,0.08196721311475409,0.0,0.09836065573770492,0.0,0.0,0.819672131147541,61.0,Transportation
xn74rf,0.0,0.0,0.0,0.044,0.0,0.956,250.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,18.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,94.0,Transportation,0.0,0.0,0.0,0.06060606060606061,0.0,0.9393939393939394,99.0,Transportation,0.0,0.0,0.0,0.06944444444444445,0.0,0.9305555555555556,72.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation
xn74rg,1.0,0.0,0.0,0.0,0.0,0.0,7.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services
xn74rh,1.0,0.0,0.0,0.0,0.0,0.0,22.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,14.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Commercial/Services
xn74rs,0.27860696517412936,0.0,0.0,0.0,0.0,0.7213930348258707,201.0,Transportation,0.373134328358209,0.0,0.0,0.0,0.0,0.6268656716417911,134.0,Transportation,0.23529411764705882,0.0,0.0,0.0,0.0,0.7647058823529411,34.0,Transportation,0.37209302325581395,0.0,0.0,0.0,0.0,0.627906976744186,86.0,Transportation,0.3782051282051282,0.0,0.0,0.0,0.0,0.6217948717948718,156.0,Transportation,0.11864406779661017,0.0,0.0,0.0,0.0,0.8813559322033898,59.0,Transportation
xn74ru,1.0,0.0,0.0,0.0,0.0,0.0,16.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,11.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,17.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Commercial/Services
xn74rx,0.2631578947368421,0.0,0.0,0.0,0.0,0.7368421052631579,19.0,Transportation,0.6,0.0,0.0,0.0,0.0,0.4,5.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,1.0,14.0,Transportation,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Commercial/Services,0.7777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222,9.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xn74ry,0.0,0.0,0.0,0.0,0.0,1.0,11.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,13.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation
xn74vb,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Residential,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Residential
xn74vf,0.0,1.0,0.0,0.0,0.0,0.0,13.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,11.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Culture & Leisure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xn74vg,0.8114754098360656,0.1885245901639344,0.0,0.0,0.0,0.0,122.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,11.0,Commercial/Services,0.7875,0.2125,0.0,0.0,0.0,0.0,80.0,Commercial/Services,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,30.0,Commercial/Services,0.782608695652174,0.21739130434782608,0.0,0.0,0.0,0.0,23.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xn74vu,0.044585987261146494,0.0,0.0,0.0,0.0,0.9554140127388535,157.0,Transportation,0.03773584905660377,0.0,0.0,0.0,0.0,0.9622641509433962,106.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,46.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,46.0,Transportation,0.09090909090909091,0.0,0.0,0.0,0.0,0.9090909090909091,121.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,50.0,Transportation
xn74vv,0.28664495114006516,0.057003257328990226,0.0,0.0,0.0,0.6563517915309446,614.0,Transportation,0.2870662460567823,0.1167192429022082,0.0,0.0,0.0,0.5962145110410094,317.0,Transportation,0.1927710843373494,0.0,0.0,0.0,0.0,0.8072289156626506,166.0,Transportation,0.27218934911242604,0.10650887573964497,0.0,0.0,0.0,0.621301775147929,169.0,Transportation,0.34024896265560167,0.07468879668049792,0.0,0.0,0.0,0.5850622406639004,482.0,Transportation,0.21929824561403508,0.15789473684210525,0.0,0.0,0.0,0.6228070175438597,114.0,Transportation
xn74vy,1.0,0.0,0.0,0.0,0.0,0.0,31.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,20.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,11.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,28.0,Commercial/Services,1.0,0.0,0.0,0.0,0.0,0.0,10.0,Commercial/Services
xn74vz,0.136986301369863,0.0,0.0,0.0,0.0,0.863013698630137,73.0,Transportation,0.6875,0.0,0.0,0.0,0.0,0.3125,16.0,Commercial/Services,0.0,0.0,0.0,0.0,0.0,1.0,29.0,Transportation,0.5,0.0,0.0,0.0,0.0,0.5,10.0,Commercial/Services,0.4444444444444444,0.0,0.0,0.0,0.0,0.5555555555555556,27.0,Transportation,0.17391304347826086,0.0,0.0,0.0,0.0,0.8260869565217391,23.0,Transportation
xn74w9,0.07465007776049767,0.015552099533437015,0.0,0.006220839813374806,0.0,0.9035769828926905,643.0,Transportation,0.2410958904109589,0.024657534246575342,0.0,0.0136986301369863,0.0,0.7205479452054795,365.0,Transportation,0.016597510373443983,0.04149377593360996,0.0,0.0,0.0,0.941908713692946,241.0,Transportation,0.23684210526315788,0.02631578947368421,0.0,0.005263157894736842,0.0,0.7315789473684211,190.0,Transportation,0.18594104308390022,0.0022675736961451248,0.0,0.018140589569160998,0.0,0.7936507936507936,441.0,Transportation,0.03676470588235294,0.022058823529411766,0.0,0.0,0.0,0.9411764705882353,136.0,Transportation
xn74wd,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Healthcare & Welfare,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Healthcare & Welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Healthcare & Welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xn74we,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Transportation
xn74wf,0.0,0.0,0.0,0.0,0.0,1.0,82.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,11.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,73.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,10.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation
xn74wr,0.0,0.0,0.0,0.0,0.0,1.0,13.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,14.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,6.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,11.0,Transportation,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Transportation
xn74wv,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure,0.2692307692307692,0.7307692307692307,0.0,0.0,0.0,0.0,52.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,5.0,Culture & Leisure,0.358974358974359,0.6410256410256411,0.0,0.0,0.0,0.0,39.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,8.0,Culture & Leisure,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Culture & Leisure
